序号,汉字,频度统计,频度顺序,频率,,
1168,研,93761,447,0.0488%,,
282,写,93710,448,0.0488%,,
1542,称,93638,449,0.0488%,,
436,企,93453,450,0.0487%,,
11,八,92700,451,0.0483%,,
186,功,92052,452,0.0479%,,
386,吗,91639,453,0.0477%,,
266,包,91240,454,0.0475%,,
120,片,90559,455,0.0472%,,
225,史,90469,456,0.0471%,,
933,委,90263,457,0.0470%,,
250,乎,90127,458,0.0469%,,
1157,查,90039,459,0.0469%,,
1180,轻,89852,460,0.0468%,,
901,易,89730,461,0.0467%,,
375,早,89623,462,0.0467%,,
2077,曾,89328,463,0.0465%,,
1390,除,89272,464,0.0465%,,
493,农,88412,465,0.0460%,,
545,找,88247,466,0.0460%,,
2065,装,88143,467,0.0459%,,
51,广,87900,468,0.0458%,,
1196,显,87825,469,0.0457%,,
639,吧,87536,470,0.0456%,,
768,阿,87159,471,0.0454%,,
596,李,86593,472,0.0451%,,
1152,标,86324,473,0.0450%,,
1679,谈,86089,474,0.0448%,,
383,吃,85976,475,0.0448%,,
921,图,85957,476,0.0448%,,
967,念,85953,477,0.0448%,,
150,六,85830,478,0.0447%,,
162,引,85740,479,0.0447%,,
90,历,85487,480,0.0445%,,
1329,首,85036,481,0.0443%,,
604,医,84620,482,0.0441%,,
762,局,84587,483,0.0441%,,
1366,突,84474,484,0.0440%,,
78,专,84361,485,0.0439%,,
1386,费,84359,486,0.0439%,,
222,号,84335,487,0.0439%,,
500,尽,84270,488,0.0439%,,
231,另,83702,489,0.0436%,,
979,周,83366,490,0.0434%,,
1495,较,82870,491,0.0432%,,
1028,注,82869,492,0.0432%,,
1371,语,82805,493,0.0431%,,
126,仅,82729,494,0.0431%,,
319,考,82688,495,0.0431%,,
1950,落,82641,496,0.0430%,,
796,青,82619,497,0.0430%,,
1895,随,82599,498,0.0430%,,
1241,选,82498,499,0.0430%,,
357,列,82418,500,0.0429%,,
795,武,81863,501,0.0426%,,
521,红,81852,502,0.0426%,,
1218,响,81702,503,0.0425%,,
1212,虽,81097,504,0.0422%,,
1713,推,80933,505,0.0421%,,
818,势,80705,506,0.0420%,,
1088,参,80663,507,0.0420%,,
678,希,80460,508,0.0419%,,
191,古,80454,509,0.0419%,,
437,众,80390,510,0.0419%,,
852,构,80364,511,0.0419%,,
1057,房,80320,512,0.0418%,,
273,半,80183,513,0.0418%,,
192,节,80074,514,0.0417%,,
26,土,79809,515,0.0416%,,
562,投,79708,516,0.0415%,,
1135,某,79482,517,0.0414%,,
1663,案,79395,518,0.0413%,,
2010,黑,78896,519,0.0411%,,
1907,维,78877,520,0.0411%,,
1137,革,78685,521,0.0410%,,
363,划,78648,522,0.0410%,,
1536,敌,78620,523,0.0409%,,
1498,致,78238,524,0.0407%,,
769,陈,77914,525,0.0406%,,
1272,律,77818,526,0.0405%,,
628,足,77385,527,0.0403%,,
871,态,77219,528,0.0402%,,
568,护,76993,529,0.0401%,,
7,七,76766,530,0.0400%,,
483,兴,76760,531,0.0400%,,
1346,派,76750,532,0.0400%,,
1389,孩,76620,533,0.0399%,,
1700,验,76542,534,0.0399%,,
797,责,76377,535,0.0398%,,
1738,营,76372,536,0.0398%,,
1200,星,76320,537,0.0397%,,
1824,够,76181,538,0.0397%,,
1843,章,76098,539,0.0396%,,
1314,音,76043,540,0.0396%,,
2190,跟,75958,541,0.0396%,,
570,志,75904,542,0.0395%,,
997,底,75728,543,0.0394%,,
1610,站,75402,544,0.0393%,,
584,严,75278,545,0.0392%,,
164,巴,74917,546,0.0390%,,
938,例,74579,547,0.0388%,,
509,防,74459,548,0.0388%,,
